year,subject,question_type,question_number,question,options,answer,analysis,images
2011,数据结构,真题,1,设 n 是描述问题规模的非负整数，下面程序片段的时间复杂度是（ ）。 x=2;while(x<n/2)x=2*x; 复杂度分析,,A,复杂度分析A.O(logn)B.O(n)C.O(nlog2​n)D.O(n2)查看答案与解析收藏正确答案：A在程序中，执行频率最高的语句为x = x * 2，设该语句总共执行了 T(n) 次，则2T(n)+1≤n/2，故T(n)=log2​(n/2)−1=log2​n−2，得T(n)=O(log2​n)。,
2011,数据结构,真题,2,元素 a，b，c，d，e 依次进入初始为空的栈中，若元素进栈后可停留、可出栈，知道所有元素都出栈，则在所有可能的出现序列中，以元素 d 开头的序列个数是（ ）。 入栈出栈序列,,B,入栈出栈序列A.3B.4C.5D.6查看答案与解析收藏正确答案：B本题考察入栈出栈序列，d 为第 1 个出栈元素，则 d 之前的元素必定是进栈后在栈中停留。因而出栈顺序必为 d_c_b_a_，e 的顺序不定，在任一 “_” 上都有可能，一共有 4 种可能。,
2011,数据结构,真题,3,已知循环队列存储在一维数组A[0..n-1]中，且队列非空时front和rear分别指向队头元素和队尾元素。若初始时队列空，且要求第一个进入队列的元素存储在A[0]处，则初始时front和rear的值分别是（ ）。,,B,队列A.0，0B.0，n-1C.n-1，0D.n-1，n-1查看答案与解析收藏正确答案：B根据题意，第一个元素进入队列后存储在A[0]处，此时front和rear值都为0。入队时由于要执行(rear+1) % n操作，所以如果入队后指针指向 0， 则rear初值为n-1，而由于第一个元素在A[0]中，插入操作只改变rear指针，所以front为 0 不变。,
2011,数据结构,真题,4,若一棵完全二叉树有 768 个结点，则该二叉树中叶结点的个数是（） 完全二叉树,,C,"完全二叉树A.257B.258C.384D.385查看答案与解析收藏正确答案：C根据完全二叉树的性质，最后一个分支结点的序号为⌊n/2⌋=⌊768/2⌋=384, 故叶子结点的个数为 768 - 384 = 384。",
2011,数据结构,真题,5,"若一棵二叉树的前序遍历序列和后序遍历序列分别为 1,2,3,4 和 4,3,2,1，则该二叉树的中序遍历序列不会是（） 二叉树的遍历",,C,"二叉树的遍历A.1,2,3,4B.2,3,4,1C.3,2,4,1D.4,3,2,1查看答案与解析收藏正确答案：C前序序列为根左右，后序序列为左右根，由于前序序列和后序序列刚好相反，故不可能存在一个结点同时存在左右孩子，即二叉树的高度为 4。1 为根结点，由于根结点只能有左孩子（或右孩子），因此，在中序序列中，1 或在序列首或在序列尾，ABCD 皆满足要求。仅考虑以 1 的孩子结点 2 为根结点的子树，它也只能有左孩子（或右孩子），因此，在中序序列中，2 或在序列首或序列尾，ABD 皆满足要求，答案选择 C。",
2011,数据结构,真题,6,已知一棵有 2011 个结点的树，其叶结点个数为 116，该树对应的二叉树中无右孩子的结点个数是（ ）。 树的概念,,D,树的概念A.115B.116C.1895D.1896查看答案与解析收藏正确答案：D树转化为二叉树时，树中每一个分支结点的所有子结点中的最右子结点无右孩子，根结点转换后也没有右孩子，因此，对应的二叉树中无右孩子的结点个数＝分支结点数+1 = 2011-116+1 = 1896。通常本题应采用特殊法解，设题意中的树是如右图所示的结构，则对应的二叉树中仅有前 115 个叶结点有右孩子，故无右孩子的结点个数 = 2011-115 = 1896。,
2011,数据结构,真题,7,对于下列关键字序列，不可能构成某二叉排序树中一条查找路径的序列是（ ）。 二叉排序树,,A,二叉排序树A.95，22，91，24，94，71B.92，20，91，34，88，35C.21，89，77，29，36，38D.12，25，71，68，33，34查看答案与解析收藏正确答案：A在二叉排序树中，左子树结点值小于根结点，右子树结点值大于根结点。在选项 A 中，当查找到 91 后再向 24 查找，说明这一条路径（左子树）之后查找的数都要比 91 小，而后面却查找到了 94（解题过程中，建议配合画图），因此错误。,
2011,数据结构,真题,8,下列关于图的叙述中，正确的是（ ）。 I. 回路是简单路径 II. 存储稀疏图，用邻接矩阵比邻接表更省空间 III. 若有向图中存在拓扑序列，则该图不存在回路 图的概念,,C,图的概念A.仅 IIB.仅 Ⅰ、IIC.仅 IIID.仅 Ⅰ、III查看答案与解析收藏正确答案：C第一个顶点和最后一个顶点相同的路径称为回路；序列中顶点不重复出现的路径称为简单路径；回路显然不是简单路径，故 I 错误；稀疏图是边比较少的情况，此时用邻接矩阵的空间复杂度为O(n2)，必将浪费大量的空间，而邻接表的空间复杂度为O(n+e)，应该选用邻接表，故 II 错误。存在回路的有向图不存在拓扑序列，若拓扑排序输出结束后所余下的顶点都有前驱，则说明只得到了部分顶点的拓扑有序序列，图中存在回路，故 III 正确。,
2011,数据结构,真题,9,为提高哈希（Hash）表的查找效率，可以采取的正确措施是（ ）。 I. 增大装填因子 II. 设计冲突少的哈希函数 III. 处理冲突时避免产生堆积现象,,D,散列表A.仅 IB.仅 IIC.仅 I、IID.仅 II、III查看答案与解析收藏正确答案：D哈希表的查找效率取决于散列函数、处理冲突的方法和装填因子。显然，冲突的产生概率与装填因子（表中记录数与表长之比）的大小成正比，即装填得越满越容易发生冲突，I 错误。II 显然正确。采用合适的处理冲突的方式避免产生聚集现象，也将提高查找效率，例如用拉链法解决冲突时就不存在聚集现象，用线性探测法解决冲突时易引起聚集现象，III 正确。,
2011,数据结构,真题,10,为实现快速排序算法，待排序序列宜采用的存储方式是（） 排序算法,,A,排序算法A.顺序存储B.散列存储C.链式存储D.索引存储查看答案与解析收藏正确答案：A对绝大部分内部排序而言，只适用于顺序存储结构。快速排序在排序的过程中，既要从后向前查找，也要从前向后查找，因此宜采用顺序存储。,
